time;open;high;low;close
2024-05-19;66920.1;67984.0;65922.0;66262.4
2024-05-20;66262.5;71464.9;66111.0;71408.1
2024-05-21;71399.0;71896.4;69202.0;70145.1
2024-05-22;70145.1;70594.2;68725.2;69144.0
2024-05-23;69144.1;70500.0;66250.0;67940.8
2024-05-24;67947.0;69285.3;66652.4;68539.1
2024-05-25;68541.0;69608.3;68540.6;69278.7
2024-05-26;69278.7;69461.2;67971.1;68476.4
2024-05-27;68474.4;70600.0;68266.6;69377.8
2024-05-28;69377.8;69509.6;67243.1;68324.9
2024-05-29;68325.0;68843.3;67100.0;67575.4
2024-05-30;67575.4;69550.0;67099.9;68365.0
2024-05-31;68365.0;69000.0;66652.4;67498.1
2024-06-01;67498.1;67817.9;67383.3;67717.2
2024-06-02;67717.2;68379.9;67283.0;67729.1
2024-06-03;67729.2;70253.4;67636.9;68800.0
2024-06-04;68800.0;71050.0;68600.1;70558.6
2024-06-05;70558.7;71709.0;70378.9;71103.6
2024-06-06;71116.3;71596.5;70100.0;70752.1
2024-06-07;70752.1;71900.0;68409.0;69317.0
2024-06-08;69317.1;69511.2;69138.0;69291.5
2024-06-09;69291.5;69809.8;69155.3;69649.9
2024-06-10;69649.9;70142.5;69186.7;69522.1
2024-06-11;69522.2;69558.7;66059.3;67348.6
2024-06-12;67348.6;69969.0;66923.0;68233.7
2024-06-13;68233.7;68412.0;66244.9;66756.5
2024-06-14;66756.4;67275.7;65075.0;65992.1
2024-06-15;65992.1;66405.3;65794.7;66198.1
2024-06-16;66198.1;66868.7;66020.0;66635.4
2024-06-17;66630.0;67267.0;65110.0;66487.6
2024-06-18;66487.7;66556.5;64050.0;65169.7
2024-06-19;65169.7;65660.1;64700.0;64949.0
2024-06-20;64949.1;66444.7;64550.0;64833.3
2024-06-21;64833.3;64999.9;63335.6;64087.9
2024-06-22;64088.0;64442.5;63932.2;64253.0
2024-06-23;64253.0;64496.6;63176.0;63176.1
2024-06-24;63176.1;63277.8;58448.0;60297.0
2024-06-25;60297.1;62364.8;60245.0;61794.0
2024-06-26;61794.1;62454.4;60689.9;60815.1
2024-06-27;60815.2;62297.8;60580.7;61617.1
2024-06-28;61617.1;62100.0;59942.7;60319.6
2024-06-29;60319.6;61102.1;60307.7;60860.0
2024-06-30;60860.0;62916.3;60660.7;62680.3
2024-07-01;62680.4;63798.9;62489.9;62858.5
2024-07-02;62858.6;63168.6;61747.0;62019.9
2024-07-03;62020.0;62178.9;59341.6;60146.6
2024-07-04;60146.6;60399.3;56777.0;57021.1
2024-07-05;57031.4;57520.4;53563.3;56650.1
2024-07-06;56650.1;58468.0;56028.6;58234.9
2024-07-07;58234.9;58396.7;55727.7;55845.4
2024-07-08;55845.4;58129.8;54301.3;56699.3
2024-07-09;56699.3;58245.2;56325.2;58001.6
2024-07-10;58001.6;59474.1;57154.1;57743.1
2024-07-11;57742.1;59500.0;57075.5;57350.0
2024-07-12;57350.0;58494.9;56593.3;57911.4
2024-07-13;57911.5;59836.5;57784.1;59222.8
2024-07-14;59222.8;61373.5;59222.8;60810.0
2024-07-15;60810.0;64900.0;60704.5;64764.2
2024-07-16;64764.3;65416.3;62466.0;65088.7
2024-07-17;65077.1;66100.3;63853.1;64120.0
2024-07-18;64120.1;65097.1;63225.5;63960.7
2024-07-19;63960.7;67429.0;63350.0;66708.9
2024-07-20;66708.9;67612.9;66301.4;67166.1
2024-07-21;67166.1;68313.0;65857.0;68137.1
2024-07-22;68137.2;68531.4;66600.0;67595.1
2024-07-23;67595.2;67761.1;65458.8;65900.8
2024-07-24;65900.8;67098.3;65134.4;65367.0
2024-07-25;65360.4;66090.9;63427.5;65795.4
2024-07-26;65794.2;69000.0;65755.6;67914.7
2024-07-27;67914.7;69398.3;66624.3;67900.8
2024-07-28;67912.9;68282.0;67090.9;68250.0
2024-07-29;68250.0;69985.0;66429.9;66755.3
2024-07-30;66755.4;66973.7;65337.5;66175.1
2024-07-31;66175.1;66799.9;64524.6;64638.1
2024-08-01;64638.1;65550.0;62250.0;65300.0
2024-08-02;65300.1;65500.0;61205.0;61409.9
2024-08-03;61410.0;62126.7;59826.5;60688.5
2024-08-04;60688.6;61040.4;57176.3;58103.0
2024-08-05;58103.1;58270.3;49111.0;54006.5
2024-08-06;54012.4;57056.5;53978.6;56080.0
2024-08-07;56080.0;57720.8;54556.5;55091.0
2024-08-08;55138.1;62700.0;54760.3;61704.7
2024-08-09;61701.9;61732.2;59572.9;60859.9
2024-08-10;60859.9;61444.6;60284.3;60951.7
2024-08-11;60951.8;61800.0;58329.9;58717.7
2024-08-12;58717.7;60658.4;57690.0;59359.9
2024-08-13;59359.5;61555.0;58441.2;60600.0
2024-08-14;60600.1;61773.4;58500.0;58693.6
2024-08-15;58693.7;59885.4;56117.7;57554.9
2024-08-16;57555.0;59800.0;57100.9;58898.4
2024-08-17;58895.6;59682.2;58812.4;59473.3
2024-08-18;59473.4;60234.4;58451.6;58466.5
2024-08-19;58466.5;59593.0;57860.8;59493.7
2024-08-20;59493.7;61391.9;58572.7;59023.3
2024-08-21;59023.3;61800.0;58844.0;61179.7
2024-08-22;61179.8;61416.7;59805.7;60391.1
2024-08-23;60391.1;64950.9;60390.0;64087.4
2024-08-24;64087.5;64481.2;63641.0;64176.0
2024-08-25;64176.1;65070.7;63834.5;64288.1
2024-08-26;64288.1;64455.5;62851.0;62854.7
2024-08-27;62851.1;63200.0;58009.6;59458.0
2024-08-28;59458.0;60216.2;57870.8;59025.6
2024-08-29;59025.6;61143.1;58717.4;59385.5
