datetime;open;high;low;close
2016-07-11 0:00;648.77;659.6;639.31;649.32
2016-07-12 0:00;649.32;678;646.05;663.52
2016-07-13 0:00;663.52;669.97;651.03;655.06
2016-07-14 0:00;652.24;664.93;650.01;659.1
2016-07-15 0:00;660.3;670.01;658.41;664.6
2016-07-16 0:00;664.6;666.67;655;662.45
2016-07-17 0:00;662;684.19;661.35;679.54
2016-07-18 0:00;678.14;682.21;666.12;672.1
2016-07-19 0:00;672.1;675.81;666;673.48
2016-07-20 0:00;674.8;675;660;667.03
2016-07-21 0:00;667.01;667.1;660.1;663.99
2016-07-22 0:00;663.25;666.3;645;649.95
2016-07-23 0:00;647.88;656.77;646;655.52
2016-07-24 0:00;655.52;665;651.99;661.47
2016-07-25 0:00;661.47;661.99;652.28;654.96
2016-07-26 0:00;654.96;656.94;645.01;651.24
2016-07-27 0:00;651.24;659.98;646.31;653.48
2016-07-28 0:00;655.13;657.89;652.41;653.07
2016-07-29 0:00;654.84;657.48;653;654.61
2016-07-30 0:00;654.88;657.5;652.19;654.67
2016-07-31 0:00;654.67;654.71;614.97;623.83
2016-08-01 0:00;623.83;630;603.63;606.35
2016-08-02 0:00;606.84;613.03;465.28;540
2016-08-03 0:00;540;572.34;521;563.42
2016-08-04 0:00;564;583.97;552;576.13
2016-08-05 0:00;578.14;578.2;562;572.5
2016-08-06 0:00;572.98;592;562.56;589.48
2016-08-07 0:00;589.47;598.82;582.12;592.47
2016-08-08 0:00;592.47;594;583.58;591.88
2016-08-09 0:00;591.88;591.88;579.43;582.75
2016-08-10 0:00;582.71;603;580.01;590.27
2016-08-11 0:00;590.46;597.78;585.22;585.22
2016-08-12 0:00;585.25;591.19;580.47;585.91
2016-08-13 0:00;585.34;589.98;581.71;583.52
2016-08-14 0:00;583.54;583.92;556.24;568.76
2016-08-15 0:00;568.76;573.69;554.9;565.55
2016-08-16 0:00;564.2;579.8;563;574.99
2016-08-17 0:00;574.95;577.86;566.02;570.91
2016-08-18 0:00;570.91;575.87;568.79;571.49
